Non-Text Content,Text Alternatives,Are text alternatives provided for all non-text content on the webpage?,"{""Open the webpage you need to evaluate in a web browser."",""Identify non-text content such as images, and interactive elements."", ""Inspect the images to ensure decorative ones have empty alt attributes (alt=''), informative ones have meaningful descriptions, and linked images describe the link�s function rather than the image itself (e.g., alt='Go to homepage')"", ""Verify that complex images (e.g., graphs, diagrams) have detailed text alternatives, either in the alt attribute or provided within the page content (e.g., captions or long descriptions)."", ""Ensure icons, buttons, and other interactive elements have accessible names or labels."", ""If there are no text-aleternatives for non-text contents, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Images of Text ,Distinguishable,"Are there any texts within images on the webpage that users cannot adjust, such as resizing or changing the font style?","{""Open the webpage you need to evaluate in a web browser."", ""Examine the webpage for any images that contain text. Use the developer tools to check if the text is part of image or actual text."", ""Check if the are alternative ways to perceive the text on the image."", ""If any non-essential text is used in images or if text in images does not have alternative description, mark the result as 'fail' and note your observations in the text box below.""}",{}
Content on hover or Focus,Distinguishable,"Is any new content that appears on hover or focus dismissible, hoverable, and persistent until dismissed or interacted with?","{""Open the webpage you need to evaluate in a web browser."", ""Identify elements that trigger additional content to appear on hover or focus. Common examples include tooltips, dropdowns, and pop-ups."", ""Ensure that new content appearing on hover or focus can be dismissed without requiring the user to move the pointer or keyboard focus away from the content."", ""Confirm that the new content remains visible and accessible when the pointer is moved over it, without disappearing."", ""Verify that the new content remains visible until its information is no longer relevant or until the user actively dismisses it."", "" If any content that appears on hover or focus is not dismissible, hoverable, or persistent, mark the result as 'fail' and note your observations in the text box below.""}",{}
Keyboard Navigation,Keyboard Accessible,Are all functionalities on the webpage accessible using a keyboard?,"{""Open the webpage you need to evaluate in a web browser."", ""Now set aside your mouse or any other pointing devices and only use keyboard to access the functionalities on the webpage."", ""Use the Tab key to move focus forward between components. Use Shift + Tab to move focus backward."", ""Use the arrow keys to navigate within a UI component (e.g., menus, dropdowns), and Spacebar or Enter to select an item."", ""Ensure all interactive components are reachable and operable using the keyboard alone."",  ""If any interactive elements are inaccessible via keyboard mark the result as 'fail' and note your observations in the text box below.""}",{}
No Keyboard trap,Keyboard Accessible,Are there any keyboard traps on the webpage where users get stuck and cannot navigate away using the keyboard?,"{""Open the webpage you need to evaluate in a web browser."", ""While navigating the webpage using only the keyboard, perform actions that open dialogs or reveal hidden content."", ""Ensure you can move away from or dismiss these components using only the keyboard, without being trapped within them."",  ""If there are keyboard traps, mark the result as 'fail' and note your observations in the text box below.""}",{}
Customisable character shortcuts,Keyboard Accessible,Are the keyboard shortcuts with characters customisable?,"{""Open the webpage you need to evaluate in a web browser."",""Consult the webpage�s documentation or help section to identify any keyboard shortcuts that use only character keys to access the functionalities on the webpage."",  ""Non-character shortcuts typically involve combinations with Alt, Ctrl, Command, or Shift keys, so identify the shortucts without these keys."" , ""Verify if the webpage provides options to customize or disable these character-only shortcuts."", ""If character-only shortcuts cannot be customized or disabled, mark the result as 'fail' and note your observations in the text box below.""}",{}
Time Limits,Enough Time,Does the user have the ability to extend or adjust any time limits set by the content?,"{""Identify any content on the webpage that imposes time limits. This could include session timeouts, automatic refreshes, countdowns, or other time-sensitive interactions."", ""Ensure that users are informed about any time limits before they begin interacting with the content."", ""Verify that users can extend or disable the time limit through a clear mechanism, such as a button or prompt."",  ""Confirm that users can save their progress and return without losing information due to time limits."", ""If users cannot extend or disable time limits, or if they risk losing data due to time constraints, mark the result as 'fail' and note your observations in the text box below.""}",{}
Flashing and Animation content,Seizures and Physical reactions,Is there any flashing or animated content on the website that could trigger seizures or cause discomfort?,"{""Scroll through the entire webpage to identify any content that flashes, blinks, or contains rapid animations."", ""Confirm that any flashing content does not exceed the threshold of three flashes per second and do not use high-contrast colours."",""Ensure that users have the option to pause, stop, or hide any flashing or animated content."",""If any flashing content exceeds the safe threshold or animations cannot be controlled by the user, mark the result as 'fail' and note your observations in the text box below.""}",{}
Titles and Headings,Navigable,Does the webpage have a clear and descriptive title and properly structured headings?,"{""Open the webpage you need to evaluate in a web browser."", ""Ensure the title on the browser tab accurately reflects the content or purpose of the page. It should be clear, concise, and informative. "", ""Use the browser's Developer Tools to inspect heading levels, ensuring they follow a logical structure (<h1>, <h2>, etc.) to organize content clearly, and verify that proper heading tags are used instead of just visual styling."", ""If the title is missing, unclear, or the headings are not properly structured, mark the result as 'fail' and note your observations in the text box below.""}",{}
Skip content,Navigable,Is there a way to skip blocks of content on the webpage?,"{""Open the webpage you need to evaluate in a web browser."",""Look for sections of the webpage that repeat across multiple pages, such as navigation menus, headers, and footers."", "" Open the developer tools and ensure there are <a> tags with href attributes pointing to IDs on the page that allow users to skip over navigation or other repetitive content."", ""Ensure that activating the skip link takes you directly to the main content area or the section indicated by the link."", ""If skip navigation links are missing or not functioning as intended, mark the result as 'fail' and note your observations in the text box below.""}",{}
Mutliple ways to navigate,Navigable,Are there multiple ways provided to navigate to different sections or pages of the website?,"{""Open the webpage you need to evaluate in a web browser."",""Analyse the webpage to identify different ways to navigate to a webpage within a website. Example of ways to navigate are navigation links in header, footer, sitemaps and site searches."", ""Check if user has atleast two different ways to navigate."", ""Use each navigation method (menus, search, site map, breadcrumbs) to ensure they work correctly and provide access to various parts of the site."", ""If multiple navigation methods are missing or not functioning properly, mark the result as 'fail' and note your observations in the text box below.""}",{}
Focus,Navigable,Is the focus visible and have a meaningful order?,"{""Open the webpage you need to evaluate in a web browser."",""Set aside your mouse and navigate through the webpage using the Tab key to move forward and Tab + Shift to move backward."",""As you navigate, observe if focus indicators (like borders, outlines, or changes in background color) are clearly visible on interactive elements like links, buttons, and form fields."",""Check if the focus order follows a logical and intuitive sequence. The focus should move in a predictable order, such as top to bottom and left to right."", ""If focus indicators are missing, not visible, or the focus order is illogical, mark the result as 'fail' and note your observations in the text box below.""}",{}
Link purpose,Navigable,Is the purpose of the link clear from the link text itself?,"{""Open the webpage you need to evaluate in a web browser."",""Use the browser's Developer Tools  or manually scan the page to find all interactive links."", ""Ensure that the link text clearly describes the destination or function of the link. It should provide enough information so that users know what to expect when they activate the link, even if read out of context."", ""If any link text is ambiguous or does not clearly convey the link�s purpose, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Fine movements,Input Modalities,Are there alternative methods provided for actions that require fine or precise movements?,"{""Open the webpage you need to evaluate in a web browser."",""Find interactive elements on the webpage that involve fine or precise movements, such as sliders, or drawing tools."", ""For example, components like slider, date component to select or make action within a small space."", ""Verify if there are alternative methods to perform these actions without relying on fine movements."", ""If alternative methods are not provided or are not functional, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Drag movements,Input Modalities,Are there alternative methods provided for actions that typically require drag-and-drop functionality?,"{""Open the webpage you need to evaluate in a web browser."",""Find elements on the webpage that require drag-and-drop actions, such as draggable items or sortable lists"",  ""Verify if there are alternative ways to perform the same actions without using drag-and-drop."", ""If no alternative methods are provided or if the provided alternatives are not functional, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Language,Readable,Is the language of the text content specified using the lang attribute in the HTML?,"{""Open the webpage you need to evaluate in a web browser."",""Open the browser's Developer Tools and view the page source or the HTML"", ""Ensure that the lang attribute is correctly set to reflect the language of the content."", "" If there are sections of the page with different languages, ensure they have their own lang attributes in the appropriate tags"", ""If the lang attribute is missing, incorrect, or if language changes are not properly specified, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Clear and simple language,Readable,Is the content on the webpage presented in a clear and simple manner that is easy to understand?,"{""Open the webpage you need to evaluate in a web browser."",""Identify key text content on the webpage, including headings, paragraphs, instructions, and informational text."", ""Review the text to ensure it uses simple, straightforward language that avoids jargon, complex vocabulary, and convoluted sentences."", ""If the text is overly complex, contains jargon, or lacks clarity, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Consistent Navigation,Predictable,Are the navigation components that repeat across multiple pages consistently presented in the same order on every page?,"{""Open the webpage you need to evaluate in a web browser."",""Identify all navigation components on the page, including menus, links, buttons, and other elements used for navigation."", ""Ensure that the same navigation elements (menus, links, buttons) appear in the same order and location on each page."", ""If there are inconsistencies in navigation elements, their order, or their functionality across different pages, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Consistent Names,Predictable,Are components with the same functionality consistently labeled across the website?,"{""Open the webpage you need to evaluate in a web browser."","" Identify components that are used multiple times across the website, such as buttons, links, and form fields that perform the same function."", ""Review the labels or names of these components on different pages to ensure they are consistently named and described."", ""If you find inconsistencies in the labels or names of components with the same functionality, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Help,Predictable,Is there a help mechanism available on the webpage to assist users?,"{""Open the webpage you need to evaluate in a web browser."",""Look for help mechanisms available on the webpage such as help buttons, help links, onscreen instructions or tooltips."", ""Ensure that the help mechanisms are easily visible and accessible on the page. They should be easy to find without extensive searching."", ""If help mechanisms are missing, difficult to find, or do not provide adequate assistance, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Error Identification,Input Assistance,"Are error messages understandable, and can users easily identify the element causing the error?","{""Open the webpage you need to evaluate in a web browser."", ""Identify forms or interactive elements that requiring user input."", ""Fill out a form or interact with input fields on the page, intentionally entering incorrect or incomplete information to trigger error messages."", ""Ensure that each error message is clearly associated with the relevant input field or form element. Errors should be clearly identified and easy to understand."",""If errors are not clearly identified, or messages are not understandable, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Error Suggestion,Input Assistance,Do the error messages provide suggestions or guidance on how to fix the issue,"{""Open the webpage you need to evaluate in a web browser."", ""Identify forms or interactive elements that requiring user input."", ""Fill out a form or interact with input fields on the page, intentionally entering incorrect or incomplete information to trigger error messages."", ""Examine each error message to see if it includes specific suggestions or instructions on how to correct the error."",""If error messages do not provide specific suggestions or guidance on how to correct errors, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Error Prevention,Input Assistance,Is there a mechanism that allows users to review and verify their inputs before submitting a form?,"{""Open the webpage you need to evaluate in a web browser."", ""Identify forms or interactive elements that requiring user input."", ""Fill out a form or interact with input fields on the page, intentionally entering incorrect or incomplete information to trigger error messages."", ""Check if there are error prevention mechanisms for user to review their inputs before submission such as confirmation dialogs, review screens, or editable summaries."", ""If there is no mechanism to review or correct errors before finalizing the action, or if the existing mechanisms are not effective, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
Name Role Value,Compatible,"Are both native and custom elements given appropriate names, roles, and values to ensure they are properly described and accessible?","{""Open the webpage you need to evaluate in a web browser."",""Use your browser�s Developer Tools to examine various user interface components such as buttons, links, form fields, and other interactive elements."",""Ensure that each component has an appropriate name that describes its purpose. This can be done by examining aria-label attributes for custom controls, alt attributes for images, text content for buttons, links, and labels."", ""Ensure that the role of each component is correctly defined. This can be done by checking ARIA roles (role attributes) on custom elements or examining HTML5 semantic elements (<button>, <input>, etc.) which inherently have defined roles."",""For form elements and interactive components, ensure that the current values (e.g., selected options, text input values) are correctly reported. This includes value attributes for input fields. Selected values for dropdowns and checkboxes."", ""If any components are missing names, roles, or have incorrect values, mark the result as 'fail' and make note of your observation in the text box below.""}",{}
